fivePrimeBreakendId	threePrimeBreakendId	name	reported	reportedType	phased	likelihood	chainLength	chainLinks	chainTerminated	domainsKept	domainsLost	skippedExonsUp	skippedExonsDown	fusedExonUp	fusedExonDown	geneStart	geneContextStart	transcriptStart	geneEnd	geneContextEnd	transcriptEnd	junctionCopyNumber
500	644	DHPS_TECR	false	NONE	INFRAME	NA	2076	10	true			0	0	4	2	DHPS	Exon 4	ENST00000210060	TECR	Promoter Region	ENST00000215567	1.0134
810	800	CTC-435M10.3_CCDC97	false	NONE	SKIPPED_EXONS	NA	0	0	false			1	0	1	2	CTC-435M10.3	Exon 1	ENST00000540732	CCDC97	Promoter Region	ENST00000269967	0.7415
1055	1052	PKN1_TECR	false	NONE	INFRAME	NA	3021	14	true			0	0	9	2	PKN1	Exon 9	ENST00000591461	TECR	Promoter Region	ENST00000598298	0.6359
708	706	CTC-454I21.3_SSBP4	false	NONE	SKIPPED_EXONS	NA	0	0	true			0	1	1	3	CTC-454I21.3	Exon 1	ENST00000588873	SSBP4	Exon 3	ENST00000270061	0.7893
1059	1060	ST3GAL5_KCMF1	false	NONE	INFRAME	NA	0	0	true			0	0	2	2	ST3GAL5	Exon 2	ENST00000473122	KCMF1	Promoter Region	ENST00000456682	1.0306
1061	874	ZNF585B_FUT1	false	NONE	INFRAME	NA	18688	3	true			0	0	1	2	ZNF585B	Exon 1	ENST00000591492	FUT1	Promoter Region	ENST00000310160	0.9265
1062	657	ZNF490_GIPC1	false	NONE	INFRAME	NA	423	2	true			0	0	2	4	ZNF490	Exon 2	ENST00000465656	GIPC1	Exon 4	ENST00000393033	0.8617
1063	1064	SSBP4_ZNF573	false	NONE	INFRAME	NA	1697	1	false			0	0	1	2	SSBP4	Exon 1	ENST00000602088	ZNF573	Exon 2	ENST00000392138	0.9352
788	1065	AC016582.2_ZNF585B	false	NONE	INFRAME	NA	0	0	true			0	0	3	2	AC016582.2	Exon 3	ENST00000592640	ZNF585B	Exon 2	ENST00000591492	0.9133
98	92	THAP4_IQCA1	false	NONE	SKIPPED_EXONS	NA	0	0	false			0	2	2	10	THAP4	Exon 2	ENST00000407315	IQCA1	Exon 10	ENST00000409907	0.9406
1050	1054	ZNF793_HKR1	false	NONE	SKIPPED_EXONS	NA	9114	3	true			1	0	1	4	ZNF793	Exon 1	ENST00000586187	HKR1	Exon 4	ENST00000591134	0.8347
788	908	AC016582.2_PPP1R15A	false	NONE	INFRAME	NA	2194	1	true			0	0	3	2	AC016582.2	Exon 3	ENST00000592640	PPP1R15A	Promoter Region	ENST00000200453	0.9672
788	874	AC016582.2_FUT1	false	NONE	INFRAME	NA	20882	4	true			0	0	3	2	AC016582.2	Exon 3	ENST00000592640	FUT1	Promoter Region	ENST00000310160	0.8726
1062	1052	ZNF490_TECR	false	NONE	INFRAME	NA	1435	7	true			0	0	2	2	ZNF490	Exon 2	ENST00000465656	TECR	Promoter Region	ENST00000598298	0.6988
1066	657	DHPS_GIPC1	false	NONE	INFRAME	NA	2209	11	true			0	0	3	4	DHPS	Exon 3	ENST00000595844	GIPC1	Exon 4	ENST00000393033	0.8847
1067	512	ZNF791_DDX39A	false	NONE	INFRAME	NA	253	2	true			0	0	2	2	ZNF791	Exon 2	ENST00000600752	DDX39A	Promoter Region	ENST00000242776	0.8184
858	964	ZNF383_BAX	false	NONE	INFRAME	NA	3606	1	true			0	0	5	2	ZNF383	Exon 5	ENST00000589413	BAX	Promoter Region	ENST00000293288	0.8931
566	512	GIPC1_DDX39A	false	NONE	INFRAME	NA	807	5	true			0	0	3	2	GIPC1	Exon 3	ENST00000393033	DDX39A	Promoter Region	ENST00000242776	0.6666
25	34	C2orf16_GPN1	false	NONE	OUT_OF_FRAME	NA	0	0	false			0	0	1	8	C2orf16	Exon 1	ENST00000408964	GPN1	Exon 8	ENST00000264718	1.0234
1061	908	ZNF585B_PPP1R15A	false	NONE	INFRAME	NA	0	0	true			0	0	1	2	ZNF585B	Exon 1	ENST00000591492	PPP1R15A	Promoter Region	ENST00000200453	1.0210
373	378	HAUS6_TOM1L2	false	NONE	SKIPPED_EXONS	NA	0	0	false			0	1	1	3	HAUS6	Exon 1	ENST00000380502	TOM1L2	Exon 3	ENST00000379504	0.9738
995	1005	ZNF571_RUVBL2	false	NONE	SKIPPED_EXONS	NA	0	0	true			1	0	2	2	ZNF571	Exon 2	ENST00000328550	RUVBL2	Promoter Region	ENST00000595090	0.8690
195	189	RANBP9_MYBPH	false	NONE	SKIPPED_EXONS	NA	0	0	false			1	0	1	10	RANBP9	Exon 1	ENST00000011619	MYBPH	Exon 10	ENST00000255416	1.7635
24	23	SYT14_SYT14	false	NONE	INFRAME	NA	0	0	false			0	0	5	4	SYT14	Exon 5	ENST00000422431	SYT14	Exon 4	ENST00000422431	1.0670
219	218	C7orf60_C7orf60	false	NONE	INFRAME	NA	0	0	false			0	0	2	4	C7orf60	Exon 2	ENST00000297145	C7orf60	Exon 4	ENST00000297145	1.0124
763	758	ZNF781_ZNF570	false	NONE	INFRAME	NA	0	0	true			0	0	2	2	ZNF781	Exon 2	ENST00000358582	ZNF570	Promoter Region	ENST00000330173	1.0103
